accuracy,conff,comb,dataset
0.7338262476894639,conff_t,"comb_2.0, 1.0, 1.0, 2.0, 1.0, 1.0",IEMO
0.7307455329636475,conff_t,"comb_2.5, 1.0, 1.0, 2.5, 1.0, 1.0",IEMO
0.7375231053604436,conff_t,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.7393715341959335,conff_t,"comb_0.5, 1.0, 1.0, 0.5, 1.0, 1.0",IEMO
0.7282809611829945,conff_t,"comb_3.0, 1.0, 1.0, 3.0, 1.0, 1.0",IEMO
0.7350585335797906,conff_t,"comb_1.5, 1.0, 1.0, 1.5, 1.0, 1.0",IEMO
0.7399876771410967,conff_v,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 1.5",IEMO
0.7369069624152803,conff_v,"comb_1.0, 1.0, 0.5, 1.0, 1.0, 0.5",IEMO
0.7319778188539742,conff_v,"comb_1.0, 1.0, 3.0, 1.0, 1.0, 3.0",IEMO
0.7375231053604436,conff_v,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.738139248305607,conff_v,"comb_1.0, 1.0, 2.0, 1.0, 1.0, 2.0",IEMO
0.7356746765249538,conff_v,"comb_1.0, 1.0, 2.5, 1.0, 1.0, 2.5",IEMO
0.7356746765249538,conff_a,"comb_1.0, 3.0, 1.0, 1.0, 3.0, 1.0",IEMO
0.7375231053604436,conff_a,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.7387553912507702,conff_a,"comb_1.0, 1.5, 1.0, 1.0, 1.5, 1.0",IEMO
0.7344423906346272,conff_a,"comb_1.0, 0.5, 1.0, 1.0, 0.5, 1.0",IEMO
0.74060382008626,conff_a,"comb_1.0, 2.0, 1.0, 1.0, 2.0, 1.0",IEMO
0.7393715341959335,conff_a,"comb_1.0, 2.5, 1.0, 1.0, 2.5, 1.0",IEMO
