Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,joy,158,158,1.0
Chandler,neutral,138,158,0.8734177215189873
Chandler,sadness,18,158,0.11392405063291139
Chandler,disgust,21,158,0.13291139240506328
Chandler,surprise,67,158,0.4240506329113924
Chandler,anger,38,158,0.24050632911392406
Chandler,fear,16,158,0.10126582278481013
Ross,joy,201,201,1.0
Ross,neutral,170,201,0.845771144278607
Ross,sadness,32,201,0.15920398009950248
Ross,disgust,10,201,0.04975124378109453
Ross,surprise,78,201,0.3880597014925373
Ross,anger,46,201,0.22885572139303484
Ross,fear,15,201,0.07462686567164178
Rachel,joy,209,209,1.0
Rachel,neutral,181,209,0.8660287081339713
Rachel,sadness,39,209,0.18660287081339713
Rachel,disgust,17,209,0.08133971291866028
Rachel,surprise,68,209,0.3253588516746411
Rachel,anger,39,209,0.18660287081339713
Rachel,fear,16,209,0.07655502392344497
Phoebe,joy,193,193,1.0
Phoebe,neutral,160,193,0.8290155440414507
Phoebe,sadness,31,193,0.16062176165803108
Phoebe,disgust,20,193,0.10362694300518134
Phoebe,surprise,72,193,0.37305699481865284
Phoebe,anger,43,193,0.22279792746113988
Phoebe,fear,13,193,0.06735751295336788
Joey,joy,206,206,1.0
Joey,neutral,180,206,0.8737864077669902
Joey,sadness,24,206,0.11650485436893204
Joey,disgust,17,206,0.0825242718446602
Joey,surprise,78,206,0.3786407766990291
Joey,anger,37,206,0.1796116504854369
Joey,fear,22,206,0.10679611650485436
Monica,joy,202,202,1.0
Monica,neutral,173,202,0.8564356435643564
Monica,sadness,38,202,0.18811881188118812
Monica,disgust,16,202,0.07920792079207921
Monica,surprise,70,202,0.3465346534653465
Monica,anger,47,202,0.23267326732673269
Monica,fear,14,202,0.06930693069306931
other,joy,243,243,1.0
other,neutral,199,243,0.8189300411522634
other,sadness,39,243,0.16049382716049382
other,disgust,14,243,0.05761316872427984
other,surprise,86,243,0.35390946502057613
other,anger,31,243,0.12757201646090535
other,fear,20,243,0.0823045267489712
