Label,Correct,Valence,Valence,Valence,Arousal,Arousal,Arousal,Dominance,Dominance,Dominance
,,mean,std,count,mean,std,count,mean,std,count
angry,Correct,1.9111245412844038,0.5178603235552639,872,3.622323967889908,0.6952420511924968,872,3.943998165137615,0.6457821644155449,872
angry,Incorrect,2.150273770491803,0.5842883751201511,61,3.401637704918033,0.6297957452391303,61,3.568306557377049,0.6806706709486002,61
excited,Correct,3.9559387931034484,0.6473167062614404,696,3.621048994252874,0.6174944203042655,696,3.446838936781609,0.7449051482999433,696
excited,Incorrect,4.050726086956522,0.554019926009398,46,3.431158695652174,0.7069553955994323,46,2.9329717391304344,0.8145332464841563,46
frustrated,Correct,2.292169689119171,0.5241543462158332,1158,3.1498262521588947,0.6313992308056766,1158,3.267991018998273,0.6825046687697292,1158
frustrated,Incorrect,2.2774187096774194,0.5782139104611345,310,3.047311935483871,0.6806133966374199,310,3.2424732258064517,0.7924075146544372,310
happy,Correct,3.9343074596774192,0.4867892618986129,496,3.1303764112903227,0.6068256886387916,496,2.90188125,0.6645007884797062,496
happy,Incorrect,4.0625,0.5629958132298016,8,3.3125,0.8838834764831844,8,3.125,0.8345229603962803,8
neutral,Correct,2.993140467937608,0.47881503123561375,1154,2.7259541594454073,0.5288880625687227,1154,2.8234404679376084,0.6107414515078318,1154
neutral,Incorrect,2.909269822485207,0.690295917118912,169,2.7623278106508873,0.639751443081096,169,2.812623076923077,0.7357992994340365,169
sad,Correct,2.3135829504232164,0.5943526775325182,827,2.5191454655380894,0.6115782558786359,827,2.8804915356711,0.8037901576024273,827
sad,Incorrect,2.152775,0.6453333516661968,12,2.7361083333333336,0.874611650399851,12,2.9444416666666666,0.9906942436845472,12
